PRDEF 'def' (1,1-3)
ID 'suma' (1,5-8)
PARENI '(' (1,9-9)
PRINT 'int' (1,10-12)
ID 'a' (1,14-14)
COMA ',' (1,15-15)
PRINT 'int' (1,17-19)
ID 'b' (1,21-21)
PAREND ')' (1,22-22)
NEWLINE '\n' (1,23-23)
INDENT '' (2,1-1)
PRRETURN 'return' (2,5-10)
ID 'a' (2,12-12)
SUM '+' (2,14-14)
ID 'b' (2,16-16)
NEWLINE '\n' (2,17-17)
NEWLINE '\n' (3,1-1)
DEDENT '' (4,1-1)
PRINT 'int' (4,1-3)
ID 'resultado' (4,5-13)
IGUAL '=' (4,15-15)
ID 'suma' (4,17-20)
PARENI '(' (4,21-21)
INT '5' (4,22-22)
COMA ',' (4,23-23)
INT '3' (4,25-25)
PAREND ')' (4,26-26)
NEWLINE '\n' (4,27-27)
PRWRITE 'Write' (5,1-5)
PARENI '(' (5,6-6)
ID 'resultado' (5,7-15)
PAREND ')' (5,16-16)
FP 'EOF' (5,17-17)
