PRINT 'int' (1,1-3)
ID 'edad' (1,5-8)
NEWLINE '\n' (1,9-9)
PRBOOL 'bool' (2,1-4)
ID 'mayor' (2,6-10)
NEWLINE '\n' (2,11-11)
PRREAD 'Read' (3,1-4)
PARENI '(' (3,5-5)
ID 'edad' (3,6-9)
PAREND ')' (3,10-10)
NEWLINE '\n' (3,11-11)
ID 'mayor' (4,1-5)
IGUAL '=' (4,7-7)
BOOL 'true' (4,9-12)
NEWLINE '\n' (4,13-13)
PRIF 'if' (5,1-2)
PARENI '(' (5,4-4)
ID 'mayor' (5,5-9)
PAREND ')' (5,10-10)
NEWLINE '\n' (5,11-11)
INDENT '' (6,1-1)
PRWRITE 'Write' (6,5-9)
PARENI '(' (6,10-10)
ID 'edad' (6,11-14)
PAREND ')' (6,15-15)
NEWLINE '\n' (6,16-16)
DEDENT '' (7,1-1)
PRELSE 'else' (7,1-4)
NEWLINE '\n' (7,5-5)
INDENT '' (8,1-1)
PRWRITE 'Write' (8,5-9)
PARENI '(' (8,10-10)
INT '0' (8,11-11)
PAREND ')' (8,12-12)
NEWLINE '\n' (8,13-13)
DEDENT '' (9,1-1)
FP 'EOF' (9,1-1)
