PRDEF 'def' (1,1-3)
ID 'suma' (1,5-8)
PARENI '(' (1,9-9)
PRINT 'int' (1,10-12)
ID 'a' (1,14-14)
COMA ',' (1,15-15)
PRINT 'int' (1,17-19)
ID 'b' (1,21-21)
PAREND ')' (1,22-22)
NEWLINE '\n' (1,23-23)
INDENT '' (2,1-1)
PRINT 'int' (2,5-7)
ID 'resultado' (2,9-17)
NEWLINE '\n' (2,18-18)
ID 'resultado' (3,5-13)
IGUAL '=' (3,15-15)
ID 'a' (3,17-17)
SUM '+' (3,19-19)
ID 'b' (3,21-21)
NEWLINE '\n' (3,22-22)
PRRETURN 'return' (4,5-10)
ID 'resultado' (4,12-20)
NEWLINE '\n' (4,21-21)
NEWLINE '\n' (5,1-1)
DEDENT '' (6,1-1)
PRINT 'int' (6,1-3)
ID 'x' (6,5-5)
NEWLINE '\n' (6,6-6)
PRINT 'int' (7,1-3)
ID 'y' (7,5-5)
NEWLINE '\n' (7,6-6)
PRINT 'int' (8,1-3)
ID 'total' (8,5-9)
NEWLINE '\n' (8,10-10)
ID 'x' (9,1-1)
IGUAL '=' (9,3-3)
INT '10' (9,5-6)
NEWLINE '\n' (9,7-7)
ID 'y' (10,1-1)
IGUAL '=' (10,3-3)
INT '20' (10,5-6)
NEWLINE '\n' (10,7-7)
ID 'total' (11,1-5)
IGUAL '=' (11,7-7)
INT '30' (11,9-10)
NEWLINE '\n' (11,11-11)
ID 'suma' (12,1-4)
PARENI '(' (12,5-5)
ID 'x' (12,6-6)
COMA ',' (12,7-7)
ID 'y' (12,9-9)
PAREND ')' (12,10-10)
NEWLINE '\n' (12,11-11)
PRWRITE 'Write' (13,1-5)
PARENI '(' (13,6-6)
ID 'total' (13,7-11)
PAREND ')' (13,12-12)
NEWLINE '\n' (13,13-13)
FP 'EOF' (14,1-1)
