PRINT 'int' (1,1-3)
ID 'edad' (1,5-8)
NEWLINE '\n' (1,9-9)
PRREAD 'Read' (2,1-4)
PARENI '(' (2,5-5)
ID 'edad' (2,6-9)
PAREND ')' (2,10-10)
NEWLINE '\n' (2,11-11)
NEWLINE '\n' (3,1-1)
PRIF 'if' (4,1-2)
PARENI '(' (4,4-4)
ID 'edad' (4,5-8)
MAYORIGUAL '>=' (4,10-11)
INT '18' (4,13-14)
PAREND ')' (4,15-15)
NEWLINE '\n' (4,16-16)
INDENT '' (5,1-5)
PRWRITE 'Write' (5,5-9)
PARENI '(' (5,10-10)
CHAR '"Mayor de edad"' (5,11-25)
PAREND ')' (5,26-26)
NEWLINE '\n' (5,27-27)
DEDENT '' (6,1-1)
PRELSE 'else' (6,1-4)
NEWLINE '\n' (6,5-5)
INDENT '' (7,1-5)
PRWRITE 'Write' (7,5-9)
PARENI '(' (7,10-10)
CHAR '"Menor de edad"' (7,11-25)
PAREND ')' (7,26-26)
DEDENT '' (7,27-27)
FP 'EOF' (7,27-27)
