PRDEF 'def' (1,1-3)
ID 'sumar' (1,5-9)
PARENI '(' (1,10-10)
PRINT 'int' (1,11-13)
ID 'a' (1,15-15)
COMA ',' (1,16-16)
PRINT 'int' (1,18-20)
ID 'b' (1,22-22)
PAREND ')' (1,23-23)
NEWLINE '\n' (1,24-24)
INDENT '' (2,1-5)
PRINT 'int' (2,5-7)
ID 'resultado' (2,9-17)
IGUAL '=' (2,19-19)
ID 'a' (2,21-21)
SUM '+' (2,23-23)
ID 'b' (2,25-25)
NEWLINE '\n' (2,26-26)
PRRETURN 'return' (3,5-10)
ID 'resultado' (3,12-20)
NEWLINE '\n' (3,21-21)
NEWLINE '\n' (4,1-1)
DEDENT '' (5,1-1)
PRINT 'int' (5,1-3)
ID 'x' (5,5-5)
IGUAL '=' (5,7-7)
INT '5' (5,9-9)
NEWLINE '\n' (5,10-10)
PRINT 'int' (6,1-3)
ID 'y' (6,5-5)
IGUAL '=' (6,7-7)
INT '10' (6,9-10)
NEWLINE '\n' (6,11-11)
PRWRITE 'Write' (7,1-5)
PARENI '(' (7,6-6)
ID 'sumar' (7,7-11)
PARENI '(' (7,12-12)
ID 'x' (7,13-13)
COMA ',' (7,14-14)
ID 'y' (7,16-16)
PAREND ')' (7,17-17)
PAREND ')' (7,18-18)
FP 'EOF' (7,19-19)
