PRINT 'int' (1,1-3)
ID 'n' (1,5-5)
NEWLINE '\n' (1,6-6)
ID 'n' (2,1-1)
IGUAL '=' (2,3-3)
INT '5' (2,5-5)
NEWLINE '\n' (2,6-6)
NEWLINE '\n' (3,1-1)
PRIF 'if' (4,1-2)
ID 'n' (4,4-4)
MAYORQ '>' (4,6-6)
INT '0' (4,8-8)
PAREND ')' (4,9-9)
NEWLINE '\n' (4,10-10)
INDENT '' (5,1-1)
PRWRITE 'Write' (5,5-9)
PARENI '(' (5,10-10)
CHAR '"Positivo"' (5,11-20)
PAREND ')' (5,21-21)
NEWLINE '\n' (5,22-22)
NEWLINE '\n' (6,1-1)
DEDENT '' (7,1-1)
PRWHILE 'while' (7,1-5)
PARENI '(' (7,7-7)
ID 'n' (7,8-8)
MAYORQ '>' (7,10-10)
INT '0' (7,12-12)
NEWLINE '\n' (7,13-13)
INDENT '' (8,1-1)
ID 'n' (8,5-5)
IGUAL '=' (8,7-7)
ID 'n' (8,9-9)
RESTA '-' (8,11-11)
INT '1' (8,13-13)
DEDENT '' (8,14-14)
FP 'EOF' (8,14-14)
